category_id,category_name,victim_age,victim_gender,location,reporter_type,narrative,gbv_related,priority,timestamp,perpetrator_relation,perpetrator_age,repeat_offense
24,Disinheritance/succession,12,Female,Online,Parent,Parent reports case of disinheritance/succession involving 12-year-old Female child. Incidient occurred at Online. Investigation ongoing.,Yes,High,2025-05-01 13:08:06,,,
40,Destitute child,16,Female,Public place,Teacher,Teacher reports case of destitute child involving 16-year-old Female child. Incidient occurred at Public place. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
22,Female Genital Mutilation,0,Female,School,Parent,Parent reports case of female genital mutilation involving 0-year-old Female child. Incidient occurred at School. ,No,Low,2025-05-01 13:08:06,Neighbor,36.0,No
16,Child with disability,10,Male,Home,Neighbor,Neighbor reports case of child with disability involving 10-year-old Male child. Incidient occurred at Home. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
2,Abduction,16,Male,Online,Healthcare worker,Healthcare worker reports case of abduction involving 16-year-old Male child. Incidient occurred at Online. ,No,Medium,2025-05-01 13:08:06,Relative,25.0,Yes
7,Children on the Street,2,Female,Home,Healthcare worker,Healthcare worker reports case of children on the street involving 2-year-old Female child. Incidient occurred at Home. Child is now safe.,No,Low,2025-05-01 13:08:06,,,
30,Refugee child,5,Female,Online,Neighbor,Neighbor reports case of refugee child involving 5-year-old Female child. Incidient occurred at Online. Investigation ongoing.,No,High,2025-05-01 13:08:06,,,
20,Emotional abuse,5,Intersex,Public place,Neighbor,Neighbor reports case of emotional abuse involving 5-year-old Intersex child. Incidient occurred at Public place. Investigation ongoing.,No,Medium,2025-05-01 13:08:06,Teacher,56.0,Yes
33,Unlawful confinement,2,Male,Online,Neighbor,Neighbor reports case of unlawful confinement involving 2-year-old Male child. Incidient occurred at Online. ,Yes,Medium,2025-05-01 13:08:06,,,
9,Child of imprisoned/detained parent(s),8,Intersex,School,Parent,Parent reports case of child of imprisoned/detained parent(s) involving 8-year-old Intersex child. Incidient occurred at School. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
28,Online Child Abuse,15,Intersex,Online,Parent,Parent reports case of online child abuse involving 15-year-old Intersex child. Incidient occurred at Online. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,,,
41,Child parent,11,Female,School,Teacher,Teacher reports case of child parent involving 11-year-old Female child. Incidient occurred at School. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,,,
38,Child radicalization,5,Female,Public place,Teacher,Teacher reports case of child radicalization involving 5-year-old Female child. Incidient occurred at Public place. Investigation ongoing.,No,High,2025-05-01 13:08:06,,,
26,Missing Child,7,Female,Home,Teacher,Teacher reports case of missing child involving 7-year-old Female child. Incidient occurred at Home. Child is now safe.,Yes,Low,2025-05-01 13:08:06,,,
20,Emotional abuse,8,Male,Home,Neighbor,Neighbor reports case of emotional abuse involving 8-year-old Male child. Incidient occurred at Home. ,No,High,2025-05-01 13:08:06,Parent,50.0,No
40,Destitute child,4,Female,Public place,Neighbor,Neighbor reports case of destitute child involving 4-year-old Female child. Incidient occurred at Public place. ,No,Medium,2025-05-01 13:08:06,,,
24,Disinheritance/succession,14,Male,Public place,Teacher,Teacher reports case of disinheritance/succession involving 14-year-old Male child. Incidient occurred at Public place. Investigation ongoing.,Yes,Medium,2025-05-01 13:08:06,,,
30,Refugee child,6,Intersex,School,Parent,Parent reports case of refugee child involving 6-year-old Intersex child. Incidient occurred at School. ,No,High,2025-05-01 13:08:06,,,
31,Sexual assault,6,Male,Online,Parent,Parent reports case of sexual assault involving 6-year-old Male child. Incidient occurred at Online. Child is now safe.,Yes,Low,2025-05-01 13:08:06,Parent,36.0,No
37,Child headed household,5,Intersex,School,Teacher,Teacher reports case of child headed household involving 5-year-old Intersex child. Incidient occurred at School. Investigation ongoing.,No,High,2025-05-01 13:08:06,,,
33,Unlawful confinement,11,Intersex,Public place,Healthcare worker,Healthcare worker reports case of unlawful confinement involving 11-year-old Intersex child. Incidient occurred at Public place. Investigation ongoing.,No,Medium,2025-05-01 13:08:06,,,
9,Child of imprisoned/detained parent(s),8,Female,Home,Teacher,Teacher reports case of child of imprisoned/detained parent(s) involving 8-year-old Female child. Incidient occurred at Home. ,Yes,Medium,2025-05-01 13:08:06,,,
18,Child Pregnancy,1,Intersex,Online,Neighbor,Neighbor reports case of child pregnancy involving 1-year-old Intersex child. Incidient occurred at Online. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
41,Child parent,0,Female,Home,Parent,Parent reports case of child parent involving 0-year-old Female child. Incidient occurred at Home. Investigation ongoing.,Yes,Medium,2025-05-01 13:08:06,,,
13,Child infected with HIV,16,Intersex,School,Neighbor,Neighbor reports case of child infected with hiv involving 16-year-old Intersex child. Incidient occurred at School. ,Yes,Low,2025-05-01 13:08:06,,,
28,Online Child Abuse,5,Intersex,School,Healthcare worker,Healthcare worker reports case of online child abuse involving 5-year-old Intersex child. Incidient occurred at School. Investigation ongoing.,No,Medium,2025-05-01 13:08:06,,,
13,Child infected with HIV,7,Female,Home,Neighbor,Neighbor reports case of child infected with hiv involving 7-year-old Female child. Incidient occurred at Home. Child is now safe.,No,High,2025-05-01 13:08:06,,,
14,Child in conflict with the law,10,Female,Public place,Teacher,Teacher reports case of child in conflict with the law involving 10-year-old Female child. Incidient occurred at Public place. ,No,Medium,2025-05-01 13:08:06,,,
1,Abandoned,9,Male,Public place,Neighbor,9-year-old Male child found living on the streets in Public place. Reported by Neighbor who noticed the child begging.,No,Medium,2025-05-01 13:08:06,Parent,48.0,Yes
21,Harmful cultural practices,11,Female,Public place,Teacher,Teacher reports case of harmful cultural practices involving 11-year-old Female child. Incidient occurred at Public place. ,Yes,Low,2025-05-01 13:08:06,,,
19,Child marriage,13,Female,Online,Neighbor,Neighbor reports case of child marriage involving 13-year-old Female child. Incidient occurred at Online. ,No,High,2025-05-01 13:08:06,,,
28,Online Child Abuse,2,Intersex,School,Teacher,Teacher reports case of online child abuse involving 2-year-old Intersex child. Incidient occurred at School. ,No,Low,2025-05-01 13:08:06,,,
23,Incest,5,Male,Online,Neighbor,Neighbor reports case of incest involving 5-year-old Male child. Incidient occurred at Online. Investigation ongoing.,Yes,Low,2025-05-01 13:08:06,Neighbor,65.0,No
3,Attempted Defilement,10,Intersex,Public place,Parent,Parent reports case of attempted defilement involving 10-year-old Intersex child. Incidient occurred at Public place. Investigation ongoing.,No,High,2025-05-01 13:08:06,Teacher,27.0,No
11,Child Trafficking,3,Intersex,Public place,Teacher,Teacher reports case of child trafficking involving 3-year-old Intersex child. Incidient occurred at Public place. Child is now safe.,No,Medium,2025-05-01 13:08:06,Teacher,65.0,No
23,Incest,9,Male,Home,Parent,Parent reports case of incest involving 9-year-old Male child. Incidient occurred at Home. ,Yes,Medium,2025-05-01 13:08:06,Relative,53.0,No
16,Child with disability,2,Female,Home,Parent,Parent reports case of child with disability involving 2-year-old Female child. Incidient occurred at Home. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
14,Child in conflict with the law,9,Intersex,School,Healthcare worker,Healthcare worker reports case of child in conflict with the law involving 9-year-old Intersex child. Incidient occurred at School. ,Yes,High,2025-05-01 13:08:06,,,
3,Attempted Defilement,0,Female,Online,Healthcare worker,Healthcare worker reports case of attempted defilement involving 0-year-old Female child. Incidient occurred at Online. Child is now safe.,No,Medium,2025-05-01 13:08:06,Stranger,52.0,No
35,Child out of school,2,Female,Public place,Parent,Parent reports case of child out of school involving 2-year-old Female child. Incidient occurred at Public place. Child is now safe.,No,High,2025-05-01 13:08:06,,,
17,Drug and substance abuse,12,Female,Home,Neighbor,Neighbor reports case of drug and substance abuse involving 12-year-old Female child. Incidient occurred at Home. ,No,Medium,2025-05-01 13:08:06,,,
6,Registration,5,Female,Public place,Parent,Parent reports case of registration involving 5-year-old Female child. Incidient occurred at Public place. Investigation ongoing.,Yes,Low,2025-05-01 13:08:06,,,
38,Child radicalization,14,Male,School,Healthcare worker,Healthcare worker reports case of child radicalization involving 14-year-old Male child. Incidient occurred at School. Investigation ongoing.,No,Low,2025-05-01 13:08:06,,,
19,Child marriage,8,Intersex,School,Parent,Parent reports case of child marriage involving 8-year-old Intersex child. Incidient occurred at School. Investigation ongoing.,No,Low,2025-05-01 13:08:06,,,
27,Neglect,0,Male,Home,Parent,Parent reports neglect of 0-year-old Male child at Home. Child shows signs of malnutrition.,Yes,Low,2025-05-01 13:08:06,,,
28,Online Child Abuse,8,Intersex,Public place,Neighbor,Neighbor reports case of online child abuse involving 8-year-old Intersex child. Incidient occurred at Public place. ,Yes,High,2025-05-01 13:08:06,,,
41,Child parent,14,Intersex,Home,Neighbor,Neighbor reports case of child parent involving 14-year-old Intersex child. Incidient occurred at Home. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
18,Child Pregnancy,13,Female,Public place,Parent,Parent reports case of child pregnancy involving 13-year-old Female child. Incidient occurred at Public place. Investigation ongoing.,Yes,High,2025-05-01 13:08:06,,,
34,Child offer,1,Intersex,Public place,Teacher,Teacher reports case of child offer involving 1-year-old Intersex child. Incidient occurred at Public place. ,Yes,Medium,2025-05-01 13:08:06,,,
41,Child parent,2,Female,Public place,Neighbor,Neighbor reports case of child parent involving 2-year-old Female child. Incidient occurred at Public place. Child is now safe.,Yes,High,2025-05-01 13:08:06,,,
12,Parental Child Abduction,3,Male,Public place,Neighbor,Neighbor reports case of parental child abduction involving 3-year-old Male child. Incidient occurred at Public place. Investigation ongoing.,Yes,Low,2025-05-01 13:08:06,Relative,22.0,Yes
1,Abandoned,11,Intersex,Home,Parent,11-year-old Intersex child found living on the streets in Home. Reported by Parent who noticed the child sleeping rough.,Yes,Medium,2025-05-01 13:08:06,Teacher,61.0,No
27,Neglect,13,Intersex,School,Neighbor,Chronic neglect case. 13-year-old Intersex living in School with lack of supervision.,No,Low,2025-05-01 13:08:06,,,
38,Child radicalization,3,Intersex,Online,Healthcare worker,Healthcare worker reports case of child radicalization involving 3-year-old Intersex child. Incidient occurred at Online. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
23,Incest,6,Male,School,Parent,Parent reports case of incest involving 6-year-old Male child. Incidient occurred at School. ,Yes,Medium,2025-05-01 13:08:06,Parent,69.0,No
9,Child of imprisoned/detained parent(s),17,Intersex,Public place,Healthcare worker,Healthcare worker reports case of child of imprisoned/detained parent(s) involving 17-year-old Intersex child. Incidient occurred at Public place. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,,,
8,Child labor,12,Male,Public place,Neighbor,Neighbor reports case of child labor involving 12-year-old Male child. Incidient occurred at Public place. Investigation ongoing.,Yes,Low,2025-05-01 13:08:06,,,
19,Child marriage,11,Male,Public place,Parent,Parent reports case of child marriage involving 11-year-old Male child. Incidient occurred at Public place. Investigation ongoing.,Yes,High,2025-05-01 13:08:06,,,
26,Missing Child,6,Intersex,School,Parent,Parent reports case of missing child involving 6-year-old Intersex child. Incidient occurred at School. Investigation ongoing.,No,Medium,2025-05-01 13:08:06,,,
41,Child parent,11,Female,School,Neighbor,Neighbor reports case of child parent involving 11-year-old Female child. Incidient occurred at School. Child is now safe.,No,Low,2025-05-01 13:08:06,,,
18,Child Pregnancy,14,Male,Public place,Parent,Parent reports case of child pregnancy involving 14-year-old Male child. Incidient occurred at Public place. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,,,
3,Attempted Defilement,3,Female,Public place,Parent,Parent reports case of attempted defilement involving 3-year-old Female child. Incidient occurred at Public place. ,No,Medium,2025-05-01 13:08:06,Stranger,57.0,Yes
22,Female Genital Mutilation,17,Male,Home,Neighbor,Neighbor reports case of female genital mutilation involving 17-year-old Male child. Incidient occurred at Home. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,Stranger,69.0,No
10,Sexual assault and Abuse,8,Intersex,Online,Healthcare worker,Healthcare worker reports case of sexual assault and abuse involving 8-year-old Intersex child. Incidient occurred at Online. Investigation ongoing.,No,Medium,2025-05-01 13:08:06,Parent,47.0,Yes
39,Forced Male Circumcision,15,Intersex,Public place,Neighbor,Neighbor reports case of forced male circumcision involving 15-year-old Intersex child. Incidient occurred at Public place. Investigation ongoing.,Yes,Medium,2025-05-01 13:08:06,Relative,70.0,Yes
31,Sexual assault,4,Intersex,School,Neighbor,Neighbor reports case of sexual assault involving 4-year-old Intersex child. Incidient occurred at School. ,No,High,2025-05-01 13:08:06,Relative,30.0,No
11,Child Trafficking,3,Male,Public place,Parent,Parent reports case of child trafficking involving 3-year-old Male child. Incidient occurred at Public place. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,Parent,37.0,Yes
1,Abandoned,6,Intersex,Home,Teacher,6-year-old Intersex child found living on the streets in Home. Reported by Teacher who noticed the child sleeping rough.,No,High,2025-05-01 13:08:06,Stranger,35.0,Yes
7,Children on the Street,13,Intersex,Home,Neighbor,Neighbor reports case of children on the street involving 13-year-old Intersex child. Incidient occurred at Home. Child is now safe.,Yes,Low,2025-05-01 13:08:06,,,
1,Abandoned,4,Female,Home,Healthcare worker,"Child (4, Female) abandoned at Home last week. Healthcare worker reports no known family members have come forward.",No,High,2025-05-01 13:08:06,Neighbor,43.0,No
13,Child infected with HIV,12,Male,School,Neighbor,Neighbor reports case of child infected with hiv involving 12-year-old Male child. Incidient occurred at School. Investigation ongoing.,Yes,High,2025-05-01 13:08:06,,,
36,Sick child (Chronic Illness),10,Female,Home,Teacher,Teacher reports case of sick child (chronic illness) involving 10-year-old Female child. Incidient occurred at Home. ,No,Medium,2025-05-01 13:08:06,,,
18,Child Pregnancy,6,Female,Public place,Healthcare worker,Healthcare worker reports case of child pregnancy involving 6-year-old Female child. Incidient occurred at Public place. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
33,Unlawful confinement,10,Intersex,Online,Parent,Parent reports case of unlawful confinement involving 10-year-old Intersex child. Incidient occurred at Online. Child is now safe.,Yes,Low,2025-05-01 13:08:06,,,
10,Sexual assault and Abuse,7,Intersex,School,Parent,Parent reports case of sexual assault and abuse involving 7-year-old Intersex child. Incidient occurred at School. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,Stranger,34.0,Yes
31,Sexual assault,8,Intersex,Home,Parent,Parent reports case of sexual assault involving 8-year-old Intersex child. Incidient occurred at Home. Child is now safe.,No,Medium,2025-05-01 13:08:06,Stranger,62.0,No
30,Refugee child,6,Intersex,Public place,Neighbor,Neighbor reports case of refugee child involving 6-year-old Intersex child. Incidient occurred at Public place. ,No,Low,2025-05-01 13:08:06,,,
22,Female Genital Mutilation,13,Female,School,Parent,Parent reports case of female genital mutilation involving 13-year-old Female child. Incidient occurred at School. ,Yes,Low,2025-05-01 13:08:06,Teacher,55.0,No
36,Sick child (Chronic Illness),3,Male,Online,Teacher,Teacher reports case of sick child (chronic illness) involving 3-year-old Male child. Incidient occurred at Online. Investigation ongoing.,Yes,Medium,2025-05-01 13:08:06,,,
21,Harmful cultural practices,2,Intersex,Online,Healthcare worker,Healthcare worker reports case of harmful cultural practices involving 2-year-old Intersex child. Incidient occurred at Online. ,No,High,2025-05-01 13:08:06,,,
37,Child headed household,5,Intersex,School,Parent,Parent reports case of child headed household involving 5-year-old Intersex child. Incidient occurred at School. Child is now safe.,Yes,Low,2025-05-01 13:08:06,,,
10,Sexual assault and Abuse,0,Male,Home,Neighbor,Neighbor reports case of sexual assault and abuse involving 0-year-old Male child. Incidient occurred at Home. ,No,High,2025-05-01 13:08:06,Neighbor,21.0,Yes
13,Child infected with HIV,6,Intersex,School,Neighbor,Neighbor reports case of child infected with hiv involving 6-year-old Intersex child. Incidient occurred at School. ,No,High,2025-05-01 13:08:06,,,
5,Physical abuse/violence,2,Intersex,Online,Healthcare worker,Healthcare worker reports case of physical abuse/violence involving 2-year-old Intersex child. Incidient occurred at Online. Child is now safe.,No,Medium,2025-05-01 13:08:06,Stranger,42.0,Yes
27,Neglect,9,Intersex,Public place,Healthcare worker,Chronic neglect case. 9-year-old Intersex living in Public place with no proper shelter.,Yes,High,2025-05-01 13:08:06,,,
13,Child infected with HIV,14,Male,Public place,Healthcare worker,Healthcare worker reports case of child infected with hiv involving 14-year-old Male child. Incidient occurred at Public place. Investigation ongoing.,No,High,2025-05-01 13:08:06,,,
24,Disinheritance/succession,14,Male,Home,Parent,Parent reports case of disinheritance/succession involving 14-year-old Male child. Incidient occurred at Home. Child is now safe.,No,Low,2025-05-01 13:08:06,,,
6,Registration,3,Intersex,Online,Teacher,Teacher reports case of registration involving 3-year-old Intersex child. Incidient occurred at Online. Child is now safe.,Yes,Low,2025-05-01 13:08:06,,,
7,Children on the Street,2,Male,Public place,Neighbor,Neighbor reports case of children on the street involving 2-year-old Male child. Incidient occurred at Public place. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
12,Parental Child Abduction,6,Female,School,Neighbor,Neighbor reports case of parental child abduction involving 6-year-old Female child. Incidient occurred at School. Child is now safe.,No,Medium,2025-05-01 13:08:06,Neighbor,41.0,No
6,Registration,16,Female,Home,Healthcare worker,Healthcare worker reports case of registration involving 16-year-old Female child. Incidient occurred at Home. ,Yes,Low,2025-05-01 13:08:06,,,
30,Refugee child,13,Intersex,Online,Healthcare worker,Healthcare worker reports case of refugee child involving 13-year-old Intersex child. Incidient occurred at Online. Investigation ongoing.,Yes,Medium,2025-05-01 13:08:06,,,
30,Refugee child,16,Female,School,Teacher,Teacher reports case of refugee child involving 16-year-old Female child. Incidient occurred at School. ,Yes,Medium,2025-05-01 13:08:06,,,
31,Sexual assault,4,Female,Public place,Teacher,Teacher reports case of sexual assault involving 4-year-old Female child. Incidient occurred at Public place. Investigation ongoing.,Yes,Medium,2025-05-01 13:08:06,Parent,20.0,Yes
28,Online Child Abuse,7,Female,Online,Healthcare worker,Healthcare worker reports case of online child abuse involving 7-year-old Female child. Incidient occurred at Online. Investigation ongoing.,Yes,High,2025-05-01 13:08:06,,,
24,Disinheritance/succession,2,Female,School,Healthcare worker,Healthcare worker reports case of disinheritance/succession involving 2-year-old Female child. Incidient occurred at School. Investigation ongoing.,No,Low,2025-05-01 13:08:06,,,
27,Neglect,1,Female,Online,Teacher,Teacher reports neglect of 1-year-old Female child at Online. Child shows signs of malnutrition.,Yes,Low,2025-05-01 13:08:06,,,
15,Defilement,3,Intersex,Public place,Parent,3-year-old Intersex child allegedly defiled at Public place. Parent noticed the child disclosed.,No,Low,2025-05-01 13:08:06,Stranger,45.0,No
10,Sexual assault and Abuse,10,Intersex,Online,Teacher,Teacher reports case of sexual assault and abuse involving 10-year-old Intersex child. Incidient occurred at Online. Child is now safe.,No,High,2025-05-01 13:08:06,Teacher,41.0,Yes
27,Neglect,7,Male,School,Parent,Chronic neglect case. 7-year-old Male living in School with inadequate food.,Yes,Low,2025-05-01 13:08:06,,,
1,Abandoned,15,Intersex,Online,Healthcare worker,15-year-old Intersex child found living on the streets in Online. Reported by Healthcare worker who noticed the child sleeping rough.,No,Medium,2025-05-01 13:08:06,Relative,70.0,Yes
34,Child offer,15,Intersex,Online,Parent,Parent reports case of child offer involving 15-year-old Intersex child. Incidient occurred at Online. Investigation ongoing.,Yes,High,2025-05-01 13:08:06,,,
35,Child out of school,12,Male,School,Healthcare worker,Healthcare worker reports case of child out of school involving 12-year-old Male child. Incidient occurred at School. Investigation ongoing.,No,High,2025-05-01 13:08:06,,,
39,Forced Male Circumcision,11,Male,Online,Neighbor,Neighbor reports case of forced male circumcision involving 11-year-old Male child. Incidient occurred at Online. Child is now safe.,Yes,High,2025-05-01 13:08:06,Parent,61.0,No
32,Child Truancy,11,Male,Public place,Parent,Parent reports case of child truancy involving 11-year-old Male child. Incidient occurred at Public place. Child is now safe.,No,High,2025-05-01 13:08:06,,,
7,Children on the Street,4,Female,Online,Teacher,Teacher reports case of children on the street involving 4-year-old Female child. Incidient occurred at Online. ,Yes,Low,2025-05-01 13:08:06,,,
32,Child Truancy,3,Female,Home,Parent,Parent reports case of child truancy involving 3-year-old Female child. Incidient occurred at Home. Investigation ongoing.,Yes,High,2025-05-01 13:08:06,,,
19,Child marriage,0,Female,School,Healthcare worker,Healthcare worker reports case of child marriage involving 0-year-old Female child. Incidient occurred at School. Investigation ongoing.,Yes,Low,2025-05-01 13:08:06,,,
39,Forced Male Circumcision,11,Female,Online,Healthcare worker,Healthcare worker reports case of forced male circumcision involving 11-year-old Female child. Incidient occurred at Online. Investigation ongoing.,No,Medium,2025-05-01 13:08:06,Neighbor,18.0,Yes
34,Child offer,3,Intersex,School,Healthcare worker,Healthcare worker reports case of child offer involving 3-year-old Intersex child. Incidient occurred at School. ,No,Low,2025-05-01 13:08:06,,,
17,Drug and substance abuse,13,Male,Home,Neighbor,Neighbor reports case of drug and substance abuse involving 13-year-old Male child. Incidient occurred at Home. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,,,
36,Sick child (Chronic Illness),13,Female,Online,Healthcare worker,Healthcare worker reports case of sick child (chronic illness) involving 13-year-old Female child. Incidient occurred at Online. ,No,Medium,2025-05-01 13:08:06,,,
28,Online Child Abuse,1,Intersex,Online,Neighbor,Neighbor reports case of online child abuse involving 1-year-old Intersex child. Incidient occurred at Online. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
10,Sexual assault and Abuse,8,Intersex,Home,Parent,Parent reports case of sexual assault and abuse involving 8-year-old Intersex child. Incidient occurred at Home. Child is now safe.,Yes,High,2025-05-01 13:08:06,Neighbor,43.0,No
6,Registration,0,Intersex,School,Teacher,Teacher reports case of registration involving 0-year-old Intersex child. Incidient occurred at School. Child is now safe.,No,Low,2025-05-01 13:08:06,,,
22,Female Genital Mutilation,13,Intersex,Online,Teacher,Teacher reports case of female genital mutilation involving 13-year-old Intersex child. Incidient occurred at Online. Investigation ongoing.,No,Low,2025-05-01 13:08:06,Teacher,18.0,Yes
2,Abduction,16,Intersex,School,Parent,Parent reports case of abduction involving 16-year-old Intersex child. Incidient occurred at School. ,Yes,Medium,2025-05-01 13:08:06,Stranger,54.0,No
4,Custody,15,Male,Public place,Neighbor,Neighbor reports case of custody involving 15-year-old Male child. Incidient occurred at Public place. Child is now safe.,Yes,Low,2025-05-01 13:08:06,,,
37,Child headed household,12,Male,School,Teacher,Teacher reports case of child headed household involving 12-year-old Male child. Incidient occurred at School. Child is now safe.,Yes,Low,2025-05-01 13:08:06,,,
24,Disinheritance/succession,2,Intersex,Public place,Neighbor,Neighbor reports case of disinheritance/succession involving 2-year-old Intersex child. Incidient occurred at Public place. ,Yes,High,2025-05-01 13:08:06,,,
31,Sexual assault,6,Female,Online,Neighbor,Neighbor reports case of sexual assault involving 6-year-old Female child. Incidient occurred at Online. ,No,Low,2025-05-01 13:08:06,Relative,35.0,No
34,Child offer,3,Intersex,Online,Neighbor,Neighbor reports case of child offer involving 3-year-old Intersex child. Incidient occurred at Online. Child is now safe.,Yes,High,2025-05-01 13:08:06,,,
41,Child parent,17,Intersex,Home,Parent,Parent reports case of child parent involving 17-year-old Intersex child. Incidient occurred at Home. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,,,
34,Child offer,2,Female,Online,Healthcare worker,Healthcare worker reports case of child offer involving 2-year-old Female child. Incidient occurred at Online. Child is now safe.,Yes,High,2025-05-01 13:08:06,,,
33,Unlawful confinement,11,Male,Public place,Parent,Parent reports case of unlawful confinement involving 11-year-old Male child. Incidient occurred at Public place. ,Yes,Low,2025-05-01 13:08:06,,,
19,Child marriage,10,Male,Online,Parent,Parent reports case of child marriage involving 10-year-old Male child. Incidient occurred at Online. ,No,Medium,2025-05-01 13:08:06,,,
